"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","subject","subjTrials"
"pavlovia","0","2305","0.0-0.0","","","","","",""
"html-keyboard-response","1","3279","0.0-1.0-0.0","972","<div style=""width:300px; height: 300px; background-color: #333; margin: auto;""></div>","q","trial","{""id"":null,""age"":null,""sex"":null,""handedness"":null,""mousetype"":null,""returner"":null,""currTrial"":5,""tgt_file"":null,""ethnicity"":null,""race"":null,""comments"":null,""distractions"":[],""distracto"":null,""dpi"":null}","{""id"":null,""experimentID"":""simple_reach"",""trialNum"":[1,2,3,4,5],""currentDate"":[""10/10/2022 17:38.6.163"",""10/10/2022 17:38.9.138"",""10/10/2022 17:38.12.682"",""10/10/2022 17:38.15.148"",""10/10/2022 17:38.19.878""],""target_angle"":[135,45,45,135,135],""trial_type"":[""no_fb"",""no_fb"",""no_fb"",""no_fb"",""online_fb""],""rotation"":[0,0,0,0,0],""hand_fb_angle"":[146.03199228015154,49.569968130225135,39.613874219504154,142.22174019270926,141.87340668280711],""rt"":[318,686,422,430,415],""mt"":[56,168,64,95,71],""search_time"":[2268,1230,2209,801,1771],""reach_feedback"":[""good_reach"",""good_reach"",""good_reach"",""good_reach"",""good_reach""],""group_type"":null}"
