"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","subject","subjTrials"
"pavlovia","0","1084","0.0-0.0","","","","","",""
"html-keyboard-response","1","1885","0.0-1.0-0.0","800","<div style=""width:300px; height: 300px; background-color: #333; margin: auto;""></div>","q","trial","{""id"":null,""age"":null,""sex"":null,""handedness"":null,""mousetype"":null,""returner"":null,""currTrial"":1,""tgt_file"":null,""ethnicity"":null,""race"":null,""comments"":null,""distractions"":[],""distracto"":null,""dpi"":null}","{""id"":null,""experimentID"":""simple_reach"",""trialNum"":[1],""currentDate"":[""10/10/2022 17:33.37.565""],""target_angle"":[135],""trial_type"":[""no_fb""],""rotation"":[0],""hand_fb_angle"":[143.34513514280385],""rt"":[429],""mt"":[40],""search_time"":[1270],""reach_feedback"":[""good_reach""],""group_type"":null}"
