"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","subject","subjTrials"
"pavlovia","0","2344","0.0-0.0","","","","","",""
"html-keyboard-response","1","4738","0.0-1.0-0.0","2393","<div style=""width:300px; height: 300px; background-color: #333; margin: auto;""></div>","q","trial","{""id"":null,""age"":null,""sex"":null,""handedness"":null,""mousetype"":null,""returner"":null,""currTrial"":1,""tgt_file"":null,""ethnicity"":null,""race"":null,""comments"":null,""distractions"":[],""distracto"":null,""dpi"":null}","{""id"":null,""experimentID"":""simple_reach"",""trialNum"":[1],""currentDate"":[""10/10/2022 17:31.33.82""],""target_angle"":[135],""trial_type"":[""no_fb""],""rotation"":[0],""hand_fb_angle"":[139.6174303939738],""rt"":[374],""mt"":[55],""search_time"":[2465],""reach_feedback"":[""good_reach""],""group_type"":null}"
