"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","subject","subjTrials"
"pavlovia","0","1080","0.0-0.0","","","","","",""
"html-keyboard-response","1","224208","0.0-1.0","223125","<div style=""width:300px; height: 300px; background-color: #333; margin: auto;""></div>","q","trial","{""id"":null,""age"":null,""sex"":null,""handedness"":null,""mousetype"":null,""returner"":null,""currTrial"":0,""tgt_file"":null,""ethnicity"":null,""race"":null,""comments"":null,""distractions"":[],""distracto"":null,""dpi"":null}","{""id"":null,""experimentID"":null,""trialNum"":[],""currentDate"":[],""target_angle"":[],""trial_type"":[],""rotation"":[],""hand_fb_angle"":[],""rt"":[],""mt"":[],""search_time"":[],""reach_feedback"":[],""group_type"":null}"
