"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task"
"pavlovia","0","2472","0.0-0.0","","","",""
"html-keyboard-response","1","4126","0.0-1.0","1653","<div style=""width:300px; height: 300px; background-color: #333; margin: auto;""></div>","q","trial"
